Date,Time,Location,Operator,Route,Type,Aboard,Fatalities,Summary
01/31/2000,16:21,Off Point Mugu California,Alaska Airlines,Puerto Vallarta - San Francisco,McDonnell Douglas MD-83,88,88,The aircraft crashed into the PacifiOcean south of Point Mugu in 650 ft. feet of water while en route from Puerto Vallarta to San Francisco. Radio transmissions from the plane indicated the pilots were struggling with a jammed stabilizer for the last 11 minutes of the flight before nose-diving into the sea. While preparing to make an emergency landing at Los Angeles International Airport control was lost and the MD-83 was seen in a nose-down attitude spinning and tumbling in a continuous roll inverted before it impacted the sea.  Loss of airplane pitch control resulting from in-flight failure of the horizontal stabilizer trim system jackscrew assembly's acme nut thread. The component failed because of excessive wear resulting from Alaska Airlines' insufficient lubrication of the jackscrew assembly. Contributing to the accident were Alaska Airlines' extended lubrication interval and the Federal Aviation Administration's approval of that extension which increased the likelihood that a missed or inadequate lubrication would result in excessive wear of the acme nut threads and Alaska Airlines' extended end play check interval and the FAA's approval of that extension which allowed the excessive wear of the acme nut threads to progress to failure without the opportunity for detection. Also contributing to the accident was the absence on the McDonnell Douglas MD-80 of a fail-safe mechanism to prevent the catastrophieffects of total acme nut thread loss. Cynthia Oti radio financial talk show host Dean Forshee guitarist Jean Gandesberry columnist Tom Stockley columnist were among those killed.
02/02/2000,,Tehran Iran,Military - IslamiRepubliof Iran Air Force,Training,Lockheed C-130 Hercules,8,8,Crashed on take off.
02/05/2000,16:00,Iliamna Alaska,Air Taxi - Iliamna Air Taxi Inc.,Ilianma AK - Koliganek AK,Cessna U206G,6,6,The airplane impacted level terrain covered by smooth wind-blown snow in a left bank of 26 degrees or greater. The pilot's attempted flight into adverse weather and his failure to maintain altitude/clearance above the snow-covered tundra. Factors associated with the accident were snow rain and whiteout conditions.
02/16/2000,19:50,Sacramento California,Emery Worldwide,Sacramento CA - Dayton OH,McDonnell Douglas DC-8-71F,3,3,The cargo plane lost altitude after taking off and crashed into a auto salvage yard and burned. A loss of pitch control resulting from the disconnection of the right elevator control tab. The disconnection was caused by the failure to properly secure and inspect the attachment bolt.
03/05/2000,18:11,Burbank Calilfornia,Southwest Airlines,Las Vegas - Burbank,Boeing B-737-3T5,142,0,While attempting to land at Burbank Airport the plane overran the runway collided with a metal blast fence and an airport perimeter wall and came to rest on a city street near a gas station. The plane touched down at 182 knots 2150 feet past the runway threshold too fast and too far down the runway for the plane to stop in time.  In the accident sequence  the nose gear collapsed the forward service door (1R) escape slide inflated inside the airplane and  the forward dual flight attendant jumpseat which was occupied by two flight attendants partially collapsed. Two passengers sustained serious injuries and 41 passengers and the captain sustained minor injuries. The flightcrew's excessive airspeed and flight path angle during the approach and landing and its failure to abort the approach when stabilized approach criteria were not met. Contributing to the accident was the controller's positioning of the airplane in such a manner as to leave no safe options for the flightcrew other than a go-around maneuver.
03/09/2000,08:40,Moscow Russia,Vologodskiye Airlines,Moscow - Kiev,Yakovlev YAK-40,9,9,The aircraft climbed to an altitude of about 100 ft. stalled lost control and crashed. Ice build up on the wings. Flaps incorrectly set.
03/17/2000,12:31,Ennadai Lake Canada,Points North Air Services,Points North Landing SK - Ennadai Lake,Douglas C-47A-5-DK,2,2,After lifting off the cargo plane entered a steep nose-up attitude banked to the left and crashed. The pilot lost control of the aircraft while conducting a go-around from a aborted landing on the ice strip.  The aircraft's center of gravity on the accident flight was beyond the aft C of G limit. The crew did not recalculate the aircraft's weight and balance for the second flight. Leaks in the heater shroud allowed carbon monoxide gas to contaminate cockpit and cabin air.
03/17/2000,09:30,Near Kuna Yala Panama,Aeroperlas,Panama City - Puerto Obaldia,de Havilland Canada DHC-6 Twin Otter 300,10,10,Crashed into a jungle mountainside 15 miles short of its destination while en route. The wreckage was found at the 2500 ft. level of a 2790 ft. mountain.  Weather was poor at the time.
03/22/2000,,Herreira Spain,Military - Ejército del Aire,Sevilla - Herreira,CASA 212-DE Aviocar 200,,,Crashed while attempting to land in poor weather.
03/24/2000,18:04,Kadirana Sri Lanka,Sky Cabs,Bangkok - Colombo,Antonov AN-12 (freighter),8,6,The pilot -in-command made two requests to land because he was low on fuel. While attempting to land he ran out of fuel and crashed short of the runway. The Cargo plane broke into four parts and crashed into houses.
03/25/2000,,Huambo Angola,Uralex,Huambo - Luanda,Antonov AN-32,33,3,The aircraft leased from a Ukrainian company overran they runway and crashed into a ditch after an aborted takeoff.
04/01/2000,08:00,Near Gualeguaychu Argentina,Taxval,,Cessna 208 Caravan,1,1,Crashed shortly after taking off in fog. The pilot was not qualified to fly in IFR conditions.
06/23/2000,11:41,Boca Raton Florida,Universal Jet Aviation,Boca Raton - Fort Pierce,Learjet 55,3,3,Shortly after takeoff the aircraft impacted another plane and crashed to the ground. The failure of the pilot's of both airplanes to maintain a visual lookout while climbing and maneuvering resulting in an in-flight collision and subsequent collision with residences and terrain.
04/19/2000,07:02,Samal Island Philippines,Air Philippines,Manila - Davao,Boeing B-737-2H4,131,131,The aircraft circled Davao airport in an attempt to land but crashed onto a coconut plantation on the mountainous Samal Island. The plane aborted a previous landing attempt because another plane was on the runway. Weather and visibility were good in the area but the landing attempt may have been hampered by low-lying clouds. The last message from the crew was that they were 7 miles from the airport on final approach. Nothing more was heard from the plane. The aircraft disintegrated upon impact near Mt. Kalangan. The elevation of the accident site was about 500 feet above sea level but the plane should have been at a altitude of 1500 feet.
04/29/2000,,Bapi Papua New Guinea,North Coast Aviation,,Britten-Norman BN-2A-20 Islander,4,4,
05/02/2000,14:39,Lyon Satolas France,Northern Executive Aviation,,Learjet 35A,5,2,During a landing attempt the crew shut down No. 1 engine and declared an emergency. The plane was told to divert to Lyon Satolas. Power was applied to the remaining engine and the plane banked to the left causing the wing to touch the ground crash and catch fire. Loss of yaw and roll control which appears to be due to the failure to monitor flight symmetry at the time of the thrust increase on the right engine.
05/03/2000,,Kurupung Guyana,Trans Guyana Airways,,Britten-Norman BN-2A-9 Islander,1,1,The cargo plane crashed into a cloud covered mountain.
05/10/2000,20:30,Kaunakakai Hawaii,Price Aircraft Company,Kahului - Hoolehua,Rockwell Sabreliner 65,6,6,While on approach the charter flight hit the ridge of a mountain. Inadequate crew coordination led to the captain's decision to discontinue the instrument approach procedure and initiate a maneuvering descent solely by visual references at night in an area of mountainous terrain. The crew failed to review the instrument approach procedure and the copilot failed to provide accurate information regarding terrain clearance and let down procedures during the instrument approach.
05/17/2000,09:47,Moanda Gabon,Avirex,Libreville - Moanda,Beechcraft 1900C-1,10,3,The charter flight crashed while on approach in fog and mist.
05/21/2000,11:28,Near Wilkes-Barre Pennsylvania,Executive Airlines,AtlantiCity - Wilkes-Barre,BAe Jetstream 3101-31,19,19,The plane crashed into a heavily wood area  as it was making a second approach to Wilkes-Barre/Scranton International Airport. Visibility was poor in wind low clouds and light rain.  While attempting the second approach the pilot reported both engines had quit but restarted one of them before the plane crashed. Investigation revealed indications of rotation on the left engine at the time of impact but the power level was not known. The right engine and propellers exhibited little or no rotation at the time of impact. Failure of the crew to ensure an adequate supply of fuel for the flight which led to the stoppage of the right engine due to fuel exhaustion and the intermittent stoppage of the left engine.  Failure of the crew to monitor the plane's fuel state and the flightcrews failure to maintain directional control after the initial stoppage.
05/25/2000,,Near Manila Philippines,Philippine Air Lines,Davao - Manila,Airbus A.330-301,298,1,A hijacker robbed passengers jumped out of the plane with a homemade parachute and was killed in the jump.
05/25/2000,02:50,Paris France,Streamline,Paris - London,Shorts 330-200,2,1,Midair collision with a MD-83 after taxing on the runway.
05/31/2000,19:05,Off Whyalla Australia,Whyalla Airlines,Adelaide - Whyalla,Piper PA-31-350 Navajo,8,8,En route and descending at Whyalla  at 6000 ft. the pilot transmitted a MAYDAY reporting that both engines of the aircraft had failed that there were eight persons on board and that he was going to have to ditch the aircraft but was trying to reach Whyalla. Three minutes later he reported his position 15 nm off the coast of Whyalla. No further transmissions were heard from the plane and the wreckage was found in Spencer Gulf the next morning. Malfunction of both engines due to the failure of components of the engines. A fractured connecting rod in the left engine led the pilot to increase the power setting in the right engine leading to the No. 6 piston being holed in the right engine.
06/05/2000,11:35,Accra Ghana,Ghana Airlink,Tamale - Accra,Fokker F-27 Friendship 600,52,7,The plane made a hard landing short of the runway and broke in two during a heavy rainstorm.
06/14/2000,09:50,Liverpool England,ANT Air Taxi,Ronaldsway - Liverpool,Piper PA-31-350 Navajo,5,5,Engaged in an air ambulance operation the plane crashed into the sea in the estuary of the River Mersey 0.8  nm from Liverpool Airport while on approach to land.  The pilot lost control of the aircraft at a late stage of the approach due either to disorientation distraction incapacitation or a combination of these conditions.
06/21/2000,07:15,Cuiaba Brazil,Air taxi - Jao Air Taxi,Cuiaba - Rondonopolis,Beech Baron,4,4,Fifteen minutes into the flight under foggy conditions and low ceiling the aircraft entered a sharp descent and struck a tree and the ground.
06/22/2000,15:16,Shitai China,Wuhan Airlines,Enshi - Wuhan,Xian Yunshuji Y-7-100C,44,44,The plane was attempting to land at Whuan's Wanjiatun Airport in thunderstorms and heavy rain when it was struck by lightning causing it to explode and crash. Half of the plane crashed into a farmhouse and the other half crashed near a dike on the Hanjiang River near the village of Shitai 15 miles from Wuhan. Seven people aboard a boat on the southern bank of the river were killed when they were swept into the river by the impact of the crash.
06/27/2000,,Off Shimano Japan,Military - Japanese Air Self-Defence Force,Training,Kawasaki C-1A,5,5,Crashed into the sea during a test flight.
07/08/2000,19:50,Near Villahermosa Mexico,Aerocaribe,Tuxtla Gutierrez - Villahermosa,British Aerospace  BAe Jetstream 32EP,19,19,The plane crashed into a heavily forested area 42 miles southeast of Villahermosa. There was fog and rain in the area  at the time.  Flying VFR deviation to avoid weather resulted in spatial disorientation of the crew which led to descending below a safe flying altitude to clear high ground.
07/09/2000,08:37,Villavicencio Colombia,CORAL Colombia,Villavicencio - Mitu,Curtiss C-46A-60-CS,19,13,The cargo plane had 19 people aboard when it crashed into a farm after losing the No. 2 engine two minutes after taking off from Villavicencio.
07/13/2000,00:34,Raleigh North Carolina,Win Win Aviation,Hinckley IL - Louisburg NC,de Havilland Canada DHC-6 Twin Otter 200,3,1,The plane on a positioning flight crashed into rugged woods during an approach to land. The pilot's continued VFR flight into IMC conditions by failing to maintain altitude and descending from VFR conditions into IMC which resulted in him subsequently impacting with trees. Factors in this accident were: reduced visibility due to dark night and fog. An additional factor was the pilot was not certified for instrument flight.
07/17/2000,07:34,Patna India,Indian Airlines/Alliance Airlines,Calcutta - Patna - Lucknow - New Delhi,Boeing B-737-2A8 Advanced,58,55,While attempting to land at Patna the aircraft was too high and the crew attempted a go-around. During the second landing attempt the aircraft was again high veered to left and lost altitude until it crashed into houses in the Gardanibagh district and burst into flames. The cause of the accident was loss of control of the aircraft due to crew error. The crew did not followed the correct approach procedure which resulted in the aircraft being high on approach. The crew then initiated a 'go-around procedure' instead of an 'approach to stall recovery procedure' resulting in an actual stall of the aircraft loss of control and subsequent impact with the ground.
07/19/2000,00:30,Linneus Maine,Airwave Transport,Moncton - Montreal,Grumman G-159 Gulfstream I,2,2,After declaring an emergency the cargo plane crew requested the nearest airport. The aircraft soon after descended out of control and crashed on the eastern side of the Meduxnekeag River. The pilot-in-command's failure to maintain minimum control airspeed which resulted in a loss of control. Factors in this accident were clouds and a loss of engine power for undetermined reasons while in cruise flight above the airplane's single engine service ceiling.
07/20/2000,13:12,Nassau Bahamas,Allied Air Freight,,Douglas C-47A-10-DK,2,2,The cargo plane lost an engine on takeoff lost altitude and crashed 2 miles east of the airport.
07/21/2000,10:20,Maui Hawaii,Blue Hawaiian Helicopters,Sight seeing,Aerospatiale AS355-F1,7,7,The helicopter on a sightseeing tour crashed into mountains on the western slopes of Maui at an elevation of 2850 feet inclement weather.
07/25/2000,16:44,Gonesse France,Air France,Paris - New York City,Aerospatiale BAe Concorde 101,109,109,The aircraft struggled to gain altitude after taking off from Charles de Gaulle airport. The pilot reported the No. 2 engine failed and struggled to steer towards Le Bourget airfield as smoke and fire trailed the jet's left wing.   The plane was unable to gain altitude went nose high stalled and crashed into a small hotel complex.  A metal strip left on the runway by another plane gashed one of the Concorde's tires which blew out sending a piece of rubber into the underside of the wing which sent a shockwave which ruptured a seam in the fuel tank. An electrical severed by another piece of rubber sparked which ignited leaking fuel ignited and started an uncontrollable fire. Power was lost to the No. 1 and No. 2 engines which led to loss of control of the aircraft and subsequent crash. Investigation revealed the metal strip was probably a thrust reverser part from Continental Airlines DC-10-30  registered N13067 which departed Paris as Flight 055 to Newark. This is the first crash of a Concorde in aviation history.
07/26/2000,,Mafraq Jordan,Military - Royal Jordanian Air Force,,Lockheed C-130H Hercules,13,13,Crashed on a training flight.
07/27/2000,10:31,Jodhura Nepal,Royal Nepal Airlines,Bajhang - Dhangadhi,de Havilland Canada DHC-6 Twin Otter 300,25,25,The aircraft crashed into the Churia mountain range at 4300 ft. 20 minutes into a 30 minute flight to Dhangadhi in rain and fog.
08/02/2000,08:45,Cubatao Brazil,Air taxi - Lider Air Taxi,Cubatao - Navegantes,Sikorsky S-76,6,6,The helicopter exploded and crashed from a height of 1000 ft.
08/06/2000,15:55,Puerto Montt Chile,Military - Fuerza Aérea de Chile,Santiago - Coihaique,Casa 212-AB10 Aviocar,14,14,The aircraft crashed into a volcano after the pilot reported he was diverting to Puerto Montt because of ice formation on the wings. The wreckage was found 15 days later.
08/09/2000,08:00,Burlington Township New Jersey,Patuxent Airways / Private,Lakehurst NY - Patuxent River MD,Piper Navajo PA-31/ Piper Seminole PA-44,11,11,The two aircraft collided over a central New Jersey subdivision scattering debris over a wide area. The Navajo had taken off from Lakehurst Naval Air Station and the Seminole from Northeast Philadelphia Airport.  The Navajo crashed into a two-story house while the Seminole fell into a soybean field. Two pilots and seven passenger were killed on the Navajo as were a pilot instructor and his student on the Seminole. Failure of the pilots of the two airplanes to see and avoid each other and maintain proper airspace separation during visual flight rules.
08/12/2000,,Near Tshikapa Congo,Staer Air,Kinshasa - Tshikapa,Antonov AN-26B,27,27,The plane was approaching Tshikapa and the pilot informed the tower that it was having difficulties with its landing gear. The tower told the pilot to do a low fly-by for an evaluation and then make an emergency landing but the pilot refused and attempted to return to Kinshasa. The plane crashed 40 miles north of Tshikapa.
08/14/2000,23:57,Teslin Lake British Columbia Canada,RCMP-GRC Air Services,Teslin - Dease Lake,Cessna 208 Caravan I,2,2,The float plane took off entered a steep climb stalled and crashed into the water. The pilot's decision to depart from the unlit location was likely the result of the many psychological and physiological stressors encountered during the day. The pilot most likely experienced spatial disorientation precipitated by local geographiand environmental conditions and lost control of the aircraft.
08/15/2000,08:25,Lumber City Georgia,Air Taxi,Dothan AL - Hazelhurst GA,Piper PA-31-350,3,3,While on approach the airplane collided with trees and the ground and subsequently burst into flames.  Pilot's failure to follow instrument procedures and descended below approach minimums and collided with trees.
08/23/2000,19:30,Off Manama Bahrain,Gulf Air,Cairo - Manama,Airbus A320-212,143,143,The aircraft crashed into the Persian Gulf and exploded in flames while attempting to land at Bahrain International Airport. The crew decided to perform a missed approach after it was determined the aircraft was coming in too high and fast. Instructions were given for a 180 degree turn and climb to 2500 feet. While performing the missed approach the plane suddenly descended rapidly from an altitude of 1000 feet and crashed into the shallow waters of the gulf approximately 1 mile from the airport. The accident was a result of a fatal combination of factors including the captain's failure to comply with standard operating procedures and the copilot's actions in not drawing the captain's attention to the deviations of the aircraft from the standard flight parameters. The captain may have suffered a 'spatial disorientation' to ground warning systems which could have made him falsely perceive the aircraft was pitching up. He responded by making a nose down input resulting in the aircraft starting to descend when aircraft warning systems were saying he should increase altitude.
08/25/2000,17:30,Hilo Bay Hawaii,Big Island Airlines,Sightseeing,Piper PA-31-350 Navajo Chieftain,9,1,The aircraft was on an around-the-island tour when it's right engine caught fire. While attempting an emergency landing at Hilo International Airport the plane ditched into Hilo Bay. Eight people escaped from the plane before it sank in 100 feet of water. One passenger was not able to exit the plane and drowned. Possible failure of the turbo unit on the right engine.
08/26/2000,12:10,Near La Fortuna Costa Rica,SANSA,San Jose  - La Fortuna - Tamarindo,Cessna 208B Grand Caravan I,10,10,The plane crashed head-on into 5360 ft. Arenal volcano 95 miles north of San Jose shortly after taking off from La Fortuna. The pilot was flying VFR and deviated from his course by 12 miles most likely to give passengers a view of the volcano which had erupted earlier in the week. The reason the crew did not see the volcano is not known. Possibly with changing meteorological conditions in the area the volcano may have been obscured by clouds. The plane built in 1998 had been leased from Aeroperlas.
09/02/2000,,Mount Montezuma Colombia,Military - Fuerza Aérea Colombiana,,Douglas C-47,7,7,Flew into Mt. Montezuma.
09/04/2000,15:10,Near Burketown Australia,Charter - Central Air,Perth - ,Beechcraft SKA 200,8,8,Shortly after departing Perth and after the aircraft had climbed through its assigned altitude the pilot’s speech became significantly impaired and he appeared unable to respond to ATS instructions. Open microphone transmissions over the next 8-minutes revealed the progressive deterioration of the pilot towards unconsciousness and the absence of any sounds of passenger activity in the aircraft. No human response of any kind was detected for the remainder of the flight. Five hours after taking off from Perth the aircraft impacted the ground 65 km ESE of Burketown Queensland and was destroyed. Incapacitation of the pilot and passengers a result of hypobarihypoxia due to the aircraft being fully or partially unpressurised and their not receiving supplemental oxygen. The investigation could not determine the reason for the aircraft being unpressurised or why the pilot and passengers did not receive supplemental oxygen.
09/16/2000,09:25,Kumarapura Sri Lanka,Military - Sri Lanka Air Force,Colombo - Kalmunai,Mil Mi-17,14,14,The Air Force helicopter was on a domestiflight when it cashed into mountainous terrain 75 km from Colombo. The helicopter’s pilot had contacted air trafficontrollers saying he had problems with visibility and was lowering his altitude. Sri Lanka Muslim Congress leader M. H. M. Ashraff 52 along with members of his entourage were killed.
09/18/2000,15:10,Nuiqsut Alaska,Cape Smythe Air Service,Deadhorse - Nuiqsut,Piper PA-31-350 Navajo,10,5,The belly cargo pod  lightly scraped the runway for about 40 feet but the airplane transitioned to a climb. As the airplane began climbing away from the runway the landing gear was observed to extend. The airplane climbed to about 100 to 150 feet above the ground and then began a descending left turn. The airplane collided with the ground on a 095 degree heading. The wreckage path extended for about 300 feet during which the landing gear left wing and the left engine separated from the airplane. A postcrash fire destroyed the fuselage right wing and the right engine. The pilot's failure to extend the landing gear his improper aborted landing procedure and inadvertent stall/mush. Factors in the accident were an improper adjustment of the landing gear warning horn system by company maintenance personnel and the failure of the pilot to utilize the prelanding checklist.
10/06/2000,16:55,Reynosa Mexico,Aeromexico,Mexico City - Reynosa - Matamoros,McDonnell Douglas DC-9-31,88,0,The aircraft overshot the runway near Reynosa Mexico and crashed into vehicles and houses coming to rest in a canal. The accident happened during a heavy rainstorm. The lights at the airport were out due to the storm and contact with the tower was lost. No passengers were killed aboard the aircraft but four people were killed on the ground.
12/11/2000,14:45,Near Sumacal Beni BO,Servicio Aereo Manchupo,Cashaschanes - Sumacal,Cessna 206,6,6,Destabilized approach attempted to establish runway alignment insufficient altitude struck a tree. The aircraft crashed and caught fire.
10/08/2000,15:20,Port Radium Northwest Territories Canada,Summit Air Charters,Kuglluktuk - Yellowknife,Shorts SC.7 Skyvan 3-100,3,3,The chartered cargo plane hit tree tops and discintegrated while attempting to land. Although the pilot and the aircraft were certified for instrument flight the pilot apparently continued to fly in accordance with visual flight rules after encountering marginal weather conditions and reduced visibility. For undetermined reasons the pilot descended below the elevation of the terrain surrounding the airstrip resulting in a controlled-flight-into-terrain accident.
10/09/2000,09:50,Lummi Island Washington,Empire Airlines,Bellingham - Eastsound-Orcas Island,Cessna 208B Caravan I Super Cargomaster,1,1,After receiving special VFR clearance the cargo plane flew into a small hill. The pilot's attempted flight into known adverse weather conditions and his subsequent failure to maintain altitude above or clearance with trees. Factors contributing to the accident included low ceilings fog the pilot's low-altitude flight rising terrain and trees.
10/10/2000,14:52,Wichita Kansas,Bombardier Aerospace,Test flight,Canadair CL-600-2B16 Challenger 604,3,2,The cause of this accident was the pilot's excessive takeoff rotation during an aft center of gravity takeoff a rearward migration of fuel during acceleration and takeoff and consequent shift in the airplane's aft c.g. to aft of the aft c.g. limit which caused the airplane to stall at an altitude too low for recovery. Contributing to the accident were Bombardier's inadequate flight planning procedures for the Challenger flight test program and the lack of direct on-site operational oversight by Transport Canada and the Federal Aviation Administration.
10/16/2000,17:33,Hillsboro Missouri,Private,St. Louis - New Madrid,Cessna 335,3,3,The twin engine Cessna crashed into a densely wooded area 30 miles south of St. Louis 25 minutes after taking off from Parks Airport. The plane was flying in rain and fog when the pilot reported he was at 6500 feet and having problems with the artificial horizon. Radar contact was soon lost with the aircraft.  Witnesses reported hearing a plane in a dive followed by an explosion.  Wreckage was scattered over a wide area.  Mel Carnahan 66 Governor of Missouri was killed in the accident along with a campaign aide and his son Roger who was piloting the plane.
10/19/2000,12:12,Near Sam Neua Laos,Lao Aviation,Vientiane - Sam Neua,Harbin Yunshuji Y-12-II,17,8,The aircraft crashed into a mountain at 4800 ft. in poor weather while making an apporach to Sam Neua.
10/25/2000,18:15,Near Batumi Republiof Georgia,Military - Russian Air Force,Moscow - Batumi,Ilyushin IL-18D,86,86,Communications were lost with the aircraft as it approached Mt. Tirina at 4250 feet preparing to land at Batumi. The aircraft was seen rapidly descending into mountainous terrain. A large explosion followed as the plane crashed somewhere between the towns of  Batumi and Kabuleti in heavy rain. Navigation error made by the crew in the final stage of the landing approach. Error by the Batumi ATC who failed to locate the plane and conform it to the crew. Erroneous data shown by ground radio-technical facilities at Batumi airport.
10/31/2000,23:17,Taipei Taiwan,Singapore Airlines,Taipei - Los Angeles,Boeing B-747-412,179,83,Weather conditions at the time were extremely poor due to typhoon Xiang Sane. A NOTAM issued on Aug 31 2000 indicated that Runway 05R was closed due to construction between Sep 13 and Nov 22. After reaching the end of Taxiway NP the plane turned onto Taxiway N1 and then made a 180-degree turn onto Runway 05R and began its takeoff roll. Approximately 3.5 seconds after reaching V1 the aircraft hit construction equipment on the runway crashed back to the ground broke up and burst into flames. The pilot attempted to take off from a closed runway. The following factors contributed to the accident. Of three lights used to guide the aircraft onto the correct runway one was not working and another dim. The airport lacked 'guard lights' used to help pilots navigate from the taxiway to the correct runway during times of poor visibility. International regulations require that a large white X be placed on the tarmaat the entrance to a closed runway but there was none at the entrance of runway 5R. Whether there should have been in this case however is itself a contentious matter as the runway remained open for taxiing.
10/31/2000,11:27,Near Monaquimbundo Angola,Aca-Ancargo,Saurimo - Luanda,Antonov AN-26,44,44,The aircraft exploded in midair 20 minutes after taking off from Saurimo. UNITA rebels claimed they shot down the plane.
11/07/2000,,Luabo DemocratiRepubliCongo,Malu Aviation,,Antonov 32B,11,2,Due to a blown tire on takeoff the pilot aborted the takeoff overran the runway came to rest in a cemetery and caught fire.
11/09/2000,01:23,Fort Wayne Indiana,Superior Aviation,Fort Wayne IN - Milwaukee WI,Swearingen SA.226TC Metro II,1,1,During takeoff the cargo plane struck trees crashed and caught fire. The indicated failure of the right hand AC bus during takeoff with low ceiling. The factors were the low ceiling night and the execssive workload the pilot experienced on takeoff with an electrical failure without a second in command.
11/15/2000,13:05,Near Luanda Angola,Asa Pesada,Luanda - Namibe,Antonov AN-26,57,57,The plane crashed and exploded in flames into an open field 3 miles from the runway shortly after takeoff.  Engine failure.
11/20/2000,12:22,Miami Florida,American Airlines,Miami FL - Port au Prince,Airbus A300-600R,114,1,After climbing through 16000 ft. the crew descovered cabin pressure could not be maintained and returned to the airport.  After landing the ram air switch failed to depressurize the aircraft. Moments later the left foreward door exploded open ejecting a flight attendant onto the tarmac.
11/25/2000,06:04,Cordoba Spain,Mayoral Executive Jet,Malaga - Cordoba,Aerospatiale SN-601 Corvette,2,1,During the approach the plane on a positioning flight hit electrilines then the ground and finally an unoccupied building.
01/14/2001,17:29,Near Lake Point Utah,Skydive Salt Lake - Charter,Skydiving,Beech A90 King Air,9,9,Crashed into the Great Salt Lake with skydivers during a final approach to Tooele. The pilot's exercise of poor judgment and his failure to maintain a safe altitude/clearance above the water. Contributing factors were the weather conditions that included low ceiling and visibility obscured by snow and mist an inadequately equipped airplane for flying in instrument meteorological conditions and the pilot's overconfidence in his personal ability in that he had reportedly done this on two previous occasions.
